SENDER_WALLET,APTOS_WALLET,TX_HASH,NETWORK,SOURCE_TIMESTAMP_UTC,CLUSTER_NUMBER,CLUSTER_SIZE
0x32dab0079a680c316a6ccc73b961f8e813076488,0x2abe42605f3056c9f7b0039c3f94119427afab88b44372e5353afc4f9ce11790,0x99e8f17ec60b72bf8e4c3b8724a71c755b868fbab1124d906751f8b62e95f815,Avalanche,2023-07-22 12:54:36.000,45,20
0x52f2261e731e51cd09c58a682f91cc552ccf2755,0x2abe42605f3056c9f7b0039c3f94119427afab88b44372e5353afc4f9ce11790,0xa3e2e072ca79dbec557e05accc23fb5fe4ae0aa57e5c77f645d89160e01411e8,Avalanche,2023-07-22 13:01:16.000,45,20
0x0d0b8d4066c2b83845a4f9810b50abe60283166e,0x2abe42605f3056c9f7b0039c3f94119427afab88b44372e5353afc4f9ce11790,0x77e01b55b69ce25137fbaf23459f6c800a97e75ee1cd7109adbf93f12e52640d,Avalanche,2023-07-22 13:03:44.000,45,20
0x030d7079586bd5f2b418123b8d235957cadfb77c,0x2abe42605f3056c9f7b0039c3f94119427afab88b44372e5353afc4f9ce11790,0x0bb9845da90a380cbf40950ffae33a95d3dc2790384b30b89539d4b76ebfa308,Avalanche,2023-07-22 13:05:54.000,45,20
0x989abfb1af23a5d65b5978d289b01b7b39943733,0x2abe42605f3056c9f7b0039c3f94119427afab88b44372e5353afc4f9ce11790,0x7c1d97230fdf9fed415b4be64fe11986be94de4e993aabddc6690968f4109528,Avalanche,2023-07-22 13:07:33.000,45,20
0x0ae8e41e03e42097c72937f904cbf4867cdf94ef,0x2abe42605f3056c9f7b0039c3f94119427afab88b44372e5353afc4f9ce11790,0x0a5dd172f11dc4433a5ed3b48ba25ecce5e61fffd495d4bfae26d9dae04ce181,Avalanche,2023-07-22 13:09:22.000,45,20
0x6e197e51ef53eec428e0714a3e72a0932af10fd6,0x2abe42605f3056c9f7b0039c3f94119427afab88b44372e5353afc4f9ce11790,0x667bcbb4dd1d3b0f7fc80929bdb3fa01b6d15affa94758f6fc4185f559a8b9ab,Avalanche,2023-07-22 13:11:06.000,45,20
0xe01f33470766c2a252b9807d3fc04ef6e61f9045,0x2abe42605f3056c9f7b0039c3f94119427afab88b44372e5353afc4f9ce11790,0x86270323959d4ac77f42b0a474b3e84c35a366c2fb4eff0e961f5f1bf70f5efa,Avalanche,2023-07-22 13:12:30.000,45,20
0x7ca0898947bc11e87066bf7a9aca20978659bc57,0x2abe42605f3056c9f7b0039c3f94119427afab88b44372e5353afc4f9ce11790,0xf5757937c1d84681956441aee3a6c7ee35827e9692b6b9f88efe030a9523e8f0,Avalanche,2023-07-22 13:14:34.000,45,20
0xdca5f7ffcf95da81f2e844afdde6a672f6604eb3,0x2abe42605f3056c9f7b0039c3f94119427afab88b44372e5353afc4f9ce11790,0x9b831f9786e84048f105fd70f09e9f69685a118f1adfbc31b3b79e54793a1f1d,Avalanche,2023-07-22 13:19:50.000,45,20
