SENDER_WALLET,APTOS_WALLET,TX_HASH,NETWORK,SOURCE_TIMESTAMP_UTC,CLUSTER_NUMBER,CLUSTER_SIZE
0x5b2b15971b07816163ed896952ec41f8a38bc44f,0xcdf547ea118a50c797265a99ab555cf1bd88cd7c485fc6a4c351771ab09c5e10,0xd0af11ea933b68e47a77a7f074ba1906de2e1ae80be6e4252d25eebdb37f1381,Arbitrum,2023-10-16 06:13:44.000,6,26
0x16c25e2d1cca9b6103cc6949c1d07e69715dcc37,0xcdf547ea118a50c797265a99ab555cf1bd88cd7c485fc6a4c351771ab09c5e10,0x4b36472986355b1f0b1d1eeb8cce6cf6b996b69251b3533b00c35a73249d6c4e,Arbitrum,2023-10-16 06:15:48.000,6,26
0xd56dbfffdde87512bd883015df3891bd4bdc0aa5,0xcdf547ea118a50c797265a99ab555cf1bd88cd7c485fc6a4c351771ab09c5e10,0x913b2cddd6b42b5c47420994867836587bbb7e85a35f0df12deba961b781b80b,Arbitrum,2023-10-16 06:16:49.000,6,26
0x40afba17b095e8af894c264c21b4fbe6f3213cbe,0xcdf547ea118a50c797265a99ab555cf1bd88cd7c485fc6a4c351771ab09c5e10,0x02cae2bdc96b6ed77897cace972df4e2ce41abeddf147837c55eb96da9ae4afb,Arbitrum,2023-10-16 06:19:22.000,6,26
0xbaea664a72dbf387cb6d90c11d25d1a20e945edc,0xcdf547ea118a50c797265a99ab555cf1bd88cd7c485fc6a4c351771ab09c5e10,0x04f6199a92e47bd01e06c3e26661f6ffad558b538e9bfe2d61c99bf199a5689f,Arbitrum,2023-10-16 06:20:25.000,6,26
0x2ae0e18db224ee2ebdb6f76267301dcfa5ff874f,0xcdf547ea118a50c797265a99ab555cf1bd88cd7c485fc6a4c351771ab09c5e10,0x833c556680e4a75079e8cddf5e3a7ce63e8c658527b7008422a5e2950f142839,Arbitrum,2023-10-16 06:21:23.000,6,26
0x09249dd5693bf0de2ab9cfe00fdfa073b53a2b4a,0xcdf547ea118a50c797265a99ab555cf1bd88cd7c485fc6a4c351771ab09c5e10,0x3828f4b505d4f6ac5a09d1a56a2befbed03f483dfd67b648d6980b07093de107,Arbitrum,2023-10-16 06:22:34.000,6,26
0x6b0fffc463dcbaa382df2430df17530398e7c2a1,0xcdf547ea118a50c797265a99ab555cf1bd88cd7c485fc6a4c351771ab09c5e10,0x11884156ad4a6b28a69f6e73393f7debca8d9d473fa8a5651788a1b913f1fa57,Arbitrum,2023-10-16 06:23:29.000,6,26
0x0f42c6e933f5eed73ab289984e3dac98ee5fa4f9,0xcdf547ea118a50c797265a99ab555cf1bd88cd7c485fc6a4c351771ab09c5e10,0x7fb2e22be3c62b12dbb91f850b7a87c0999e537a985d5800ec914f15b99bb0cd,Arbitrum,2023-10-16 06:24:35.000,6,26
0x1fa1a918a023f372b05c003033c38db42b04a96e,0xcdf547ea118a50c797265a99ab555cf1bd88cd7c485fc6a4c351771ab09c5e10,0xc82269219c178bb491fa9ad21707d1bd0e6b03b45a90a941a3e900a312a0913c,Arbitrum,2023-10-16 06:25:56.000,6,26
