SENDER_WALLET,APTOS_WALLET,TX_HASH,NETWORK,SOURCE_TIMESTAMP_UTC,CLUSTER_NUMBER,CLUSTER_SIZE
0xe947a0579d8a16084db7a96998e3d59312d6e827,0xe4bcf14564187afd9409b8f069631e616d8b9d42e00b9f6fb3ab2b5fd76f6dbf,0x92ac2774d2bc6ccf7fd9bbbff6f1fc4f845c6871533a63b3933526e9018f82eb,Arbitrum,2023-04-16 15:53:14.000,6,57
0x3781a9bc5b4bfba1fd5776f91eb43db7261984be,0xe4bcf14564187afd9409b8f069631e616d8b9d42e00b9f6fb3ab2b5fd76f6dbf,0xfbdd89c9ad2e17e66e98ceda4385a78a691be2716066d56a1c48f10642664243,Arbitrum,2023-04-16 15:57:15.000,6,57
0x36169b2a4f74aebba0ca8bfce2e2bc4b389daa19,0xe4bcf14564187afd9409b8f069631e616d8b9d42e00b9f6fb3ab2b5fd76f6dbf,0xf53d895a9e2789b44f866b999c6f77e307eff84c6d1322d7be968fa74a8bfa45,Arbitrum,2023-04-16 20:03:08.000,6,57
0xb33c390c4b864aed433fc002d8811852a7030476,0xe4bcf14564187afd9409b8f069631e616d8b9d42e00b9f6fb3ab2b5fd76f6dbf,0x493b59f4a834a82c862111e1de005a9e02b5e6d1ad0ae094f93b1e2dd09e6742,Arbitrum,2023-04-16 21:13:02.000,6,57
0x27dea49cd47865e61f75b620348e7cb996386120,0xe4bcf14564187afd9409b8f069631e616d8b9d42e00b9f6fb3ab2b5fd76f6dbf,0x8bc0b0d90d325790bcb0d373f504c5cd367cd24c10aff2b2b6b811fb0a3ee812,Arbitrum,2023-04-16 21:22:20.000,6,57
0xb8877189f0cfa5173105de591212370af1974e9a,0xe4bcf14564187afd9409b8f069631e616d8b9d42e00b9f6fb3ab2b5fd76f6dbf,0x17d72b0021e91e99400882315133e5155f943a815773091f1229da931c465560,Arbitrum,2023-04-16 21:31:52.000,6,57
0xcc5f2bbad98752eeb9350bc6c020076c018dd3e0,0xe4bcf14564187afd9409b8f069631e616d8b9d42e00b9f6fb3ab2b5fd76f6dbf,0xd805fe17953cc3f5d3fbbfe8f28eaf2c0a8cb2d5a966e4b3f9803e8f25e70a43,Arbitrum,2023-04-16 21:34:27.000,6,57
0x2e9f4c9e11cca7d797371e2db1636777876abef5,0xe4bcf14564187afd9409b8f069631e616d8b9d42e00b9f6fb3ab2b5fd76f6dbf,0x8486a93bc9d88129e71bbf8c61380caf8c120147a1942f6ced91318f64d17281,Arbitrum,2023-04-16 21:36:42.000,6,57
0xe8cdccbbd2281856c9a49dd9f37d9e67152e52b8,0xe4bcf14564187afd9409b8f069631e616d8b9d42e00b9f6fb3ab2b5fd76f6dbf,0xabf68a405cd9829fc815c6ec4f28a41858161451c0496b97b7bc14890a68b446,Arbitrum,2023-04-16 21:39:17.000,6,57
0xd0aa335d35a75152df019c11ec6339fe06b733c7,0xe4bcf14564187afd9409b8f069631e616d8b9d42e00b9f6fb3ab2b5fd76f6dbf,0x391950b75f2d0fcf65cdc6ac3bbe5720b2814c07d19737b60349ca7d4a0d5cd8,Arbitrum,2023-04-16 21:41:10.000,6,57
0x9c82f745d147c0c1c3291e4a2383a02b7a540e56,0xe4bcf14564187afd9409b8f069631e616d8b9d42e00b9f6fb3ab2b5fd76f6dbf,0xfc4f7c9d126cb6c517c5b70104866917d5af5591d4eb131db4b6fc5f68df5f4f,Arbitrum,2023-04-16 21:55:41.000,6,57
0xf965b7b3509d6fe2fd2de20dfe89b406c840c9da,0xe4bcf14564187afd9409b8f069631e616d8b9d42e00b9f6fb3ab2b5fd76f6dbf,0x22f5682c691fddbbb16a7b80c8be1fd89c5ad8254443f2b45ce1baff37932a13,Arbitrum,2023-04-16 21:59:16.000,6,57
0xa0012022d5b8d29de546be4555aa07ae77804ee1,0xe4bcf14564187afd9409b8f069631e616d8b9d42e00b9f6fb3ab2b5fd76f6dbf,0x54dcff9dbfc7894630ad01c99cc52f80546b48ff2e4dd32b243e76f2324a4040,Arbitrum,2023-04-16 22:01:16.000,6,57
0x75f1bd931d9e1863705bc82771b5cd314cb1939f,0xe4bcf14564187afd9409b8f069631e616d8b9d42e00b9f6fb3ab2b5fd76f6dbf,0xc9a34b9a3e68e06f6c6c79a753e1ed794589544d88f9f8624202fe11fa59bbf0,Arbitrum,2023-04-16 22:03:06.000,6,57
0x3b907bc2010c0ea2225f16eef00c4867ef1aad0b,0xe4bcf14564187afd9409b8f069631e616d8b9d42e00b9f6fb3ab2b5fd76f6dbf,0x391730592b7d3dfc4733f2b54378fd1eff08878ad56ea9abad4287e820525a34,Arbitrum,2023-04-16 22:05:08.000,6,57
0x4b0d6af838796624d83fe3af95f858137cb90874,0xe4bcf14564187afd9409b8f069631e616d8b9d42e00b9f6fb3ab2b5fd76f6dbf,0x886e269afc989ededb620c94f9b7f83b7cfcc35b06f50bf0c392aa6cd5ae1ce2,Arbitrum,2023-04-16 22:07:16.000,6,57
