SENDER_WALLET,APTOS_WALLET,TX_HASH,NETWORK,SOURCE_TIMESTAMP_UTC,CLUSTER_NUMBER,CLUSTER_SIZE
0x4587846a4857dacb01e02ccc8831cb1ee274ae9b,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0x54352f2eb40a0ade899d517589ff79f803f162fd012a34ad1b8614e854e4adb1,Arbitrum,2023-09-16 10:15:06.000,22,36
0x7fcf6f47b7dedf68524735bb441cbb6bba3d4cf1,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0x08d0b3be53d98aeab7bcb689a449f5c9d010310f5a9959d2803c0135f318dc91,Arbitrum,2023-09-16 10:20:37.000,22,36
0xaf7252a3952f8e5f7d0ccdbb3540d944356b8bd8,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0x2842af9ce906eb2f997ac0054390aa1f48f7473d5469a75c0cc02fb54b32be5c,Arbitrum,2023-09-16 10:21:24.000,22,36
0x67d8a00c12fa9ba5951027eef7803dea9f0c2efc,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0xc79bd408a1ecfff857f3a1cd1db07ca5c3ba5d8d49b38bb9c330ce1072222e58,Arbitrum,2023-09-16 10:22:55.000,22,36
0x392559a7d700a93e0b48b4440f323c67317836b5,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0xd9a553ca85f0fdaa87382c94f42923fa743707cd8b53ecbb721cf2739e0a07d8,Arbitrum,2023-09-16 10:23:58.000,22,36
0xede6420c75b8c1806e1dd86b4681ed68f0101366,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0x63198dd85487981ee22aaa1b921d6dcbf0e0ddac2ffa9a65a20ff3369cc1c03f,Arbitrum,2023-09-16 10:25:29.000,22,36
0xa413d8ae2a40c47224a222229f1ba43a0574f184,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0x2c15371fe0d59620899c6af086ccd7a6b8591d2b939722a32723070208cae264,Arbitrum,2023-09-16 10:25:54.000,22,36
0x77f09e8600fff3c51d5db89edbd46b4770172732,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0xa0746dcea06062e44ecefeda63d0bf974e2bc1c8510f0e8df5806f2a9f014c16,Arbitrum,2023-09-16 10:27:02.000,22,36
0x48525aac393c6138d40366d512198d5554649d6d,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0xe1b52e4bb456d85774a3fb50e0c00589353413bb7a7d7a221fa2b35d399b91d7,Arbitrum,2023-09-16 10:27:32.000,22,36
0xaf18b0ea3c922401407f0330c4739d5e3781d35e,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0xb7349e3c78eebf32a149c5bc1b985242da9aa7d6662775c724f3631fcbf98764,Arbitrum,2023-09-16 10:28:08.000,22,36
0xe3d84bc966ab927155051884d2630e9230309f9a,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0x3213cdb4d6aa68cd2f997f0fa9f0c7bbd205cb4efebfae2c742163b4394285bc,Arbitrum,2023-09-16 10:29:55.000,22,36
0x55d58ade4dfb1de974311b5df16d707b103e8327,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0xe4a848c06786c4e7e89512311386d3d407b085370a7844e19995d7c1c099fdb7,Arbitrum,2023-09-16 10:29:59.000,22,36
0x3029e71cd296f8af090249f35803df8eb0faa798,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0x7865f6d1a7e7354d3e145f5a88e87d3dfe9d1067a1bc6e540c28f3a77a29be09,Arbitrum,2023-09-16 10:30:10.000,22,36
0x4b14aacfbf6e52ff897c338c1ef1d614511136d5,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0xb991282ae00e9d722a90553fac342212370e31a42f1d9c55665a9a2586573d08,Arbitrum,2023-09-16 10:30:43.000,22,36
0xc18d5a79fb00f8bd60ef71907c39a29e21035162,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0x6ed0eb765f8207260cab02f9fbd07ad1e0a35d1022ac1b41ff885e7cf8a2f283,Arbitrum,2023-09-16 10:31:14.000,22,36
0x06a5456d6ff359056a82fadbe5a2293065275d9d,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0x0f56605dff7166aac597c532a0434325b9ecf5d49bda3b92191283c175dcbd37,Arbitrum,2023-09-16 10:31:37.000,22,36
0x8547a9cd1bb746e6f166ce0b3e5ca9e70ef86fa0,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0x51ccbbd310ba47f489a6fafb5f2dc079c5bf37bd967b4cfd78f6002d2559c6fa,Arbitrum,2023-09-16 10:32:06.000,22,36
0xfe315377843938a558771f770645137b4aa38b3a,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0x5fc5c82b67aa6ebe082fe76b587d1a6a2da27ce5090bd5e84221ae921d6afa58,Arbitrum,2023-09-16 10:32:34.000,22,36
0x2257ff2590bcf292d19746078a214d8ce9f43e6b,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0xe96e91f8c436376ef18439a573d64a9fcd3e65dd92d77f04e2a413cdd54d0d98,Arbitrum,2023-09-16 10:33:06.000,22,36
0x76b0dc7b5d5132a0ecb4aebdef3a34d5fe2a6b97,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0x5cb770b5cba132ad87819b0360b1f820821fae46638e626ea58ac005d3e3f0ef,Arbitrum,2023-09-16 10:33:29.000,22,36
0xcd933ea7ed63690dadb2beb6c7fcfc641a486b3d,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0x67f7e315f93c62e4ef1d3b110fac1e860879e31e28e44265e2d8d3459fa17f2b,Arbitrum,2023-09-16 10:34:04.000,22,36
0x12c7c9f5f6e2367e92bcd8eb576a664655c3cf85,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0x4b53d388372600e0adf845b26a8ab2f2b9baeec7e2f93ae0baa4a81e0bae5261,Arbitrum,2023-09-16 10:34:33.000,22,36
0x772e06faf8c73ab101f46b9562e9188cb118709a,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0x7f9b3c7c2e76a78ed3f11b2a92cc070fb36f7beb8676c177273370f9c5004c65,Arbitrum,2023-09-16 10:36:07.000,22,36
0xf4488f210597a6c052df49cf13c843fbb00d354c,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0xb95c122aeaf278522388e840d57291e6c7a91c69f9481a8628f47dd2aaa5650d,Arbitrum,2023-09-16 10:39:49.000,22,36
0xd2d21bfec4682816034827693be5d2cbdf137750,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0xfb3fcd6812f6468ad4fa633dd1b6d8ad1ff80b1a890086a07b0746ea011b2004,Arbitrum,2023-09-16 10:40:23.000,22,36
0x4abffa47588968f000be62c2e243c53bbcc8d341,0x59d991030ae8123de4b28c017af8cc0e291d7f90bc5703b24e3fce35f4540c49,0x960e0edee5bf77e7952221e7c6df71df10b5b00c29aa9744abbb4fc0aac8b32f,Arbitrum,2023-09-16 10:41:00.000,22,36
