SENDER_WALLET,APTOS_WALLET,TX_HASH,NETWORK,SOURCE_TIMESTAMP_UTC,CLUSTER_NUMBER,CLUSTER_SIZE
0x354c5585a66094de8dcae036da28e283150b7211,0x1f1b9e39bdd57d73daf8e7f9ac3ba5334f951f63a88a0a401610b86c3c31d567,0x02e037e57caf8c07957b6522a9d3de2839c65fc681623d4943165577441b1e6a,Arbitrum,2023-09-18 13:29:19.000,9,50
0x07eba7f1f18823d03efc28dca63c4c619e50a693,0x1f1b9e39bdd57d73daf8e7f9ac3ba5334f951f63a88a0a401610b86c3c31d567,0x9543d65d0e25b3ae07ab179ed77c25a4161a4a98b0cc08e3ce041a895784682f,Arbitrum,2023-09-18 13:31:55.000,9,50
0x0107b1c8faaad42840bfe56438fa021ecd1b9ba0,0x1f1b9e39bdd57d73daf8e7f9ac3ba5334f951f63a88a0a401610b86c3c31d567,0xbeec6adb0ad546eb1bb8aed3be8b2ef828cfaf6445d1bf8c3d3573be7947330b,Arbitrum,2023-09-19 11:15:34.000,9,50
0xd699c9c128cce7e0a0ce6cbe94a5980fd3d09971,0x1f1b9e39bdd57d73daf8e7f9ac3ba5334f951f63a88a0a401610b86c3c31d567,0x76c1c438472b9b3ee88e483490d0b5d436456938c1d55cca301895dd234d0b51,Arbitrum,2023-09-19 11:21:39.000,9,50
0xffd0c9a5d97c7ed45d3ce7f85f9a45564d9c708b,0x1f1b9e39bdd57d73daf8e7f9ac3ba5334f951f63a88a0a401610b86c3c31d567,0x945544363ff184b4e1351eb080357de984edb59b652759b6fda1bc5ec62ce50e,Arbitrum,2023-09-19 11:22:43.000,9,50
0xceb1b7f5ed1280ce562e7dfc9a1d0098f3dee449,0x1f1b9e39bdd57d73daf8e7f9ac3ba5334f951f63a88a0a401610b86c3c31d567,0x7bc5fd2ff38356004f298b8d70cff8881bb1ded100d070c77b58c5c3f31cba5a,Arbitrum,2023-09-19 11:23:21.000,9,50
0x4091b06fefdd05f6f391ce123c6b60f950c293ee,0x1f1b9e39bdd57d73daf8e7f9ac3ba5334f951f63a88a0a401610b86c3c31d567,0x868d50f9505cd9c3f01547270cd1a73cba1a729573f957f2fa8dc8c8be69bddc,Arbitrum,2023-09-19 11:24:05.000,9,50
0xd67fa42ed0e904745744679595800d0ac7b6d0f3,0x1f1b9e39bdd57d73daf8e7f9ac3ba5334f951f63a88a0a401610b86c3c31d567,0x752b1d16a78723e24f058bb6d4a9759b5f368d20a3d91b03868d60c911d22eec,Arbitrum,2023-09-19 11:24:42.000,9,50
0x2075d0cef2c29bbf864802793f5e8574ee37fb6a,0x1f1b9e39bdd57d73daf8e7f9ac3ba5334f951f63a88a0a401610b86c3c31d567,0x5f9a7e6c6c4425c105b3d4a5d2cb3792885cca163dea78b88daeb9d958ea9ac4,Arbitrum,2023-09-19 11:25:32.000,9,50
0xbae2cb8146ef0b0b6a4c8e351269acf0799ed3d3,0x1f1b9e39bdd57d73daf8e7f9ac3ba5334f951f63a88a0a401610b86c3c31d567,0xd659cfcf2e68f10f467eefa75a05696cf9a4ec9d98c91d88dd6486de94191f44,Arbitrum,2023-09-19 11:27:16.000,9,50
0xbc97394808dde67e36e883a60ad3d5dd173d4b40,0x1f1b9e39bdd57d73daf8e7f9ac3ba5334f951f63a88a0a401610b86c3c31d567,0xe99cd8608e7acda11020ebe6a8f690623cae029348835f3ca849fbe75ab6078b,Arbitrum,2023-09-19 11:28:17.000,9,50
0x84f83d1cbac57451b8ef945670ecc82657f0d731,0x1f1b9e39bdd57d73daf8e7f9ac3ba5334f951f63a88a0a401610b86c3c31d567,0x95e067d795116a337ec27693a952b9cee60a5333bfdfe34596327905038761ce,Arbitrum,2023-09-19 11:28:58.000,9,50
0xa531828a0bc7d3cd95a9d4799acf577c7f3d1f7d,0x1f1b9e39bdd57d73daf8e7f9ac3ba5334f951f63a88a0a401610b86c3c31d567,0x8cd7ed392bad844d8f6ede35ff1d02daa6a9a5e1bc6d09e6d87d1854f0be0d38,Arbitrum,2023-09-19 11:29:39.000,9,50
0xba440cf223647ffa35d7b5b7d5d9aa96ec256248,0x1f1b9e39bdd57d73daf8e7f9ac3ba5334f951f63a88a0a401610b86c3c31d567,0x5e137e46b064bd1e960f31c6daf363bd862a3ed4fcb722db61adf0bec48b84c2,Arbitrum,2023-09-19 11:30:18.000,9,50
0xca6567971fe298d419b59e8410389178d864653e,0x1f1b9e39bdd57d73daf8e7f9ac3ba5334f951f63a88a0a401610b86c3c31d567,0xd7c0a7217369c2c7e82f15870480cea1c873d70f6589451c7e34869c77b23d04,Arbitrum,2023-09-19 11:30:55.000,9,50
0xfee2705ee830ef67cb16ad99c27fdd700d52031e,0x1f1b9e39bdd57d73daf8e7f9ac3ba5334f951f63a88a0a401610b86c3c31d567,0x00d96bd4e4598d8584a9777335a5e0af77a2d7d8290854a8e6bff3b3421c407d,Arbitrum,2023-09-19 11:31:37.000,9,50
0x23a0620a779e72a03308c6c3ea497f99161681c7,0x1f1b9e39bdd57d73daf8e7f9ac3ba5334f951f63a88a0a401610b86c3c31d567,0x18444b665425beece0df069ff7eda59f0f8f851451a0f26bfc4584ea90c5e842,Arbitrum,2023-09-19 11:32:18.000,9,50
0x5e667dd0e17460ba50bedba6442dd0ec16069401,0x1f1b9e39bdd57d73daf8e7f9ac3ba5334f951f63a88a0a401610b86c3c31d567,0x8cd8fca429e0fec2ad95dc4b708e052d77ec8fbfbdb6455c360886b508e6f31a,Arbitrum,2023-09-19 11:33:11.000,9,50
