SENDER_WALLET,APTOS_WALLET,TX_HASH,NETWORK,SOURCE_TIMESTAMP_UTC,CLUSTER_NUMBER,CLUSTER_SIZE
0xd0c27111b0877592c92843a24a5166456672d2c7,0x778b36b57674083def6e1c8bcc598f909305e33cefc58489a0d08ba26b8dfcf4,0xbc2def536ab0e86ea1c333bd3468e6fdd310c700a16047324eb07592dd4153c9,Optimism,2023-07-03 09:57:09.000,4,68
0x242bd8f80b7ca579b110e0eeda91b86b566f91a5,0x778b36b57674083def6e1c8bcc598f909305e33cefc58489a0d08ba26b8dfcf4,0x4f50a4d7471f5cbebc0e21d0379b0ae8c3e04f5d1252aa98ac04387f08aba5dd,Optimism,2023-07-03 09:58:03.000,4,68
0xcc13b7fb7fd35b6de86c02b370823ac6560e7da2,0x778b36b57674083def6e1c8bcc598f909305e33cefc58489a0d08ba26b8dfcf4,0x6c943808dc58af91704c5c33d2dab45d0a0e9528a2aaa66e0a55ce653469eb66,Optimism,2023-07-03 09:58:23.000,4,68
0xf927754c0fd1838626aaaf7def1d0e37bb689a74,0x778b36b57674083def6e1c8bcc598f909305e33cefc58489a0d08ba26b8dfcf4,0x12ef6e6dd98e69fe70c2ed250224a51df4a7fb7b4fb7161541502d9d42e9234c,Optimism,2023-07-03 09:58:43.000,4,68
0xd3c64b0a5be06dc02dfd58982bcc8bb75fae374f,0x778b36b57674083def6e1c8bcc598f909305e33cefc58489a0d08ba26b8dfcf4,0xae0303bcef318c640f06f1d60ac2bc1a870feb81d3eb26ce5e86db91a9d11ada,Optimism,2023-07-03 09:59:23.000,4,68
0x19aec11cc4bd988e884eac19cd39a56142f21e83,0x778b36b57674083def6e1c8bcc598f909305e33cefc58489a0d08ba26b8dfcf4,0x2bbe032cd9eb29b0d97827ae3c3f3432fdcf0f5dae2f846c741e23ba2ee97afe,Optimism,2023-07-03 09:59:39.000,4,68
0x311f7ed1a784bdfc2d6b123c3d0e6fb34ff08f81,0x778b36b57674083def6e1c8bcc598f909305e33cefc58489a0d08ba26b8dfcf4,0xf17bbc5fa03dfb89094a491a7147d93ecb5b5f36ef1f711facc5bb2377fac8cc,Optimism,2023-07-03 09:59:53.000,4,68
0x12aafdf35a9018eef326ffcd0d605df12b4c3e7e,0x778b36b57674083def6e1c8bcc598f909305e33cefc58489a0d08ba26b8dfcf4,0x670931fc341b9767189f7192c1121019ba350116bd7187ad86dfeea970c19a29,Optimism,2023-07-03 10:00:13.000,4,68
0xf277ca301ac39f12a72cdcced669871f07674de4,0x778b36b57674083def6e1c8bcc598f909305e33cefc58489a0d08ba26b8dfcf4,0x918fd774e3f33645c7b5b3f50020e7345276be4e24eaf12b65dfcc5888e08c55,Optimism,2023-07-03 10:00:29.000,4,68
0x61b84443e34fa4f6ac1dffac3dc14d4550b66f29,0x778b36b57674083def6e1c8bcc598f909305e33cefc58489a0d08ba26b8dfcf4,0xbeec8a4ae092f39e3c701919acf44194284654d0645d6920161aeac254c6e020,Optimism,2023-07-03 10:00:47.000,4,68
